,0,1,2,3,4,5,6,7,8,9
113,0.113,0.097,0.064,0.084,0.163,0.088,0.095,0.095,0.095,0.107
114,0.144,0.184,0.112,0.114,0.043,0.043,0.029,0.129,0.079,0.124
115,0.227,0.225,0.142,0.134,0.064,0.073,0.06,0.035,0.023,0.017
116,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
117,0.077,0.098,0.077,0.079,0.115,0.092,0.104,0.236,0.065,0.057
118,0.105,0.079,0.334,0.193,0.038,0.03,0.053,0.03,0.03,0.107
119,0.233,0.071,0.15,0.15,0.077,0.055,0.041,0.06,0.06,0.102
120,0.287,0.208,0.151,0.109,0.079,0.057,0.042,0.03,0.022,0.016
121,0.034,0.117,0.025,0.031,0.131,0.111,0.083,0.256,0.119,0.091
122,0.2,0.254,0.069,0.159,0.056,0.022,0.061,0.056,0.061,0.061
123,0.222,0.178,0.143,0.115,0.092,0.074,0.059,0.048,0.038,0.031
124,0.038,0.14,0.034,0.041,0.169,0.1,0.045,0.112,0.103,0.217
125,0.092,0.113,0.1,0.225,0.214,0.094,0.045,0.027,0.053,0.037
126,0.029,0.195,0.166,0.198,0.075,0.031,0.017,0.092,0.114,0.083
127,0.329,0.223,0.151,0.102,0.069,0.047,0.032,0.022,0.015,0.01
128,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
129,0.23,0.124,0.075,0.127,0.052,0.078,0.083,0.107,0.059,0.065
130,0.117,0.099,0.091,0.099,0.099,0.099,0.099,0.099,0.099,0.099
131,0.027,0.196,0.024,0.05,0.172,0.162,0.111,0.115,0.088,0.057
132,0.074,0.097,0.097,0.129,0.111,0.089,0.097,0.111,0.097,0.097
133,0.353,0.231,0.084,0.084,0.022,0.016,0.044,0.032,0.012,0.121
134,0.089,0.1,0.088,0.106,0.129,0.086,0.082,0.121,0.094,0.106
135,0.066,0.043,0.107,0.06,0.079,0.101,0.213,0.108,0.134,0.088
136,0.047,0.083,0.185,0.14,0.163,0.088,0.088,0.069,0.069,0.069
137,0.067,0.102,0.076,0.149,0.091,0.073,0.093,0.129,0.116,0.104
138,0.046,0.04,0.078,0.217,0.061,0.106,0.092,0.115,0.09,0.154
